Imagen;Descripción;Autor;Colección
Raccuc001;Hábito;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc002;Ramas;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc003;Filidio;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc004;Ápice cuculado;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc005;Zona basal del filidio;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc006;Zona apical del filidio;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc007;Células mediales de la lámina;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc008;Células mediales de la lámina;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc009;Ápice;Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
Raccuc010;"Racomitrium cucullatifolium Hampe  a. Hábito; b. Ramas; c. Filidio; d. Zona basal del filidio; e. Zona apical del filidio; f. Ápice; g. Ápice cuculado; h. Células mediales de la lámina";Ussher 2003;Ussher & Aguirre 0009-359 (MERC)
